lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized
bolagsstämma		1828	1	bib13506739_18280426_144030_97_0002_alto.xml-9-58	 	förklara, arr iiiter hinder förekommer, del Eommirreradc, äfwen i den händelse att leclningarne till delaktighet i nämnde Bolag ej, wid berörde mänadS stut, upp gä till fulla 10 millioner, mä, genom kungörelse i Allmänna Tidningarne, pä sätl 6:!e puncrcn i de för Bolager öflrcrenskomne grunder iunehäller, till Bolagsstämma sammankalla alla dem, som i teckningen deltagit, för att besluta, buruwida Bolaget stall träda i wetksamher, eller icke, samt derjemte förordnat, att teckninearnc borde under liten, och äfwcn ' efter ' efter kungörelsens utfärdande, pä lika sätt som förnr, sorrgä; narda alla de, som i teckningen redan deltagit eller före d.	312:324	0:650	förklara , arr iiiter hinder förekommer , del Eommirreradc , äfwen i den händelse att leclningarne till delaktighet i nämnde Bolag ej , wid berörde mänadS stut , upp gä till fulla 10 millioner , mä , genom kungörelse i Allmänna Tidningarne , pä sätl 6 : !e puncrcn i de för Bolager öflrcrenskomne grunder iunehäller , till Bolagsstämma sammankalla alla dem , som i teckningen deltagit , för att besluta , buruwida Bolaget stall träda i wetksamher , eller icke , samt derjemte förordnat , att teckninearnc borde under liten , och äfwcn ' efter ' efter kungörelsens utfärdande , pä lika sätt som förnr , sorrgä ; narda alla de , som i teckningen redan deltagit eller före d .	58	0:122	förklara $ arr iii hinder förekomma $ del eommirreradc $ äfwen i den händelse att leclningarne till delaktighet i nämna bolag ej $ wid beröra mänads stut $ upp gä till full 10 million $ mä $ genom kungörelse i allmän tidning $ pä sätl 6 $ $ puncrcn i en för bolager öflrcrenskomne grund iunehäller $ till bolagsstämma sammankalla all de $ som i teckning delta $ för att besluta $ buruwida bolag stall trä i wetksamher $ eller icke $ samt derjemte förordna $ att teckninearnc böra under liten $ och äfwcn $ efter $ efter kungörelse utfärda $ pä lik sätt som förnr $ sorrgä $ narda all en $ som i teckning redan delta eller före d $
bolagsstämma		1826	1	bib19225772_18260228_148004_24_0004_alto.xml-12-12	 	Diverse: berrar Jntretzenter i Kullens Fabrik behagade hos undertecknad sammanträda till Bolagsstämma, Thorsdagen d.	89:101	0:116	Diverse : berrar Jntretzenter i Kullens Fabrik behagade hos undertecknad sammanträda till Bolagsstämma , Thorsdagen d .	12	0:17	diverse $ berrar jntretzenter i kull fabrik behaga hos underteckna sammanträda till bolagsstämma $ thorsdag d $
bolagsstämma		1826	1	bib19225792_18261104_147359_42_0002_alto.xml-3-32	 	och Slustwerks Bolag anmodas och kallas härmedelst att den (31) Trettiondeförste instundande Januari, kl. ia förmiddagen, sammanträda a Handels Societetens Rum i Götheborg, till hallande af Extra Bolagsstämma i anledning af ett af Kongl.	196:208	0:237	och Slustwerks Bolag anmodas och kallas härmedelst att den ( 31 ) Trettiondeförste instundande Januari , kl. ia förmiddagen , sammanträda a Handels Societetens Rum i Götheborg , till hallande af Extra Bolagsstämma i anledning af ett af Kongl .	32	0:40	och slustwerks bolag anmoda och kalla härmedelst att den $ 31 $ trettiondeförste instunda januari $ $ ia förmiddag $ sammanträda a handels societet rum i götheborg $ till halla af extra bolagsstämma i anledning af en af kongl $
bolagsstämma		1828	1	bib19277277_18281209_147682_288_0002_alto.xml-1-15	 	Herrar Aktieägare uti GustasSbergS Porslin?-06 WarljnS-tta^riker ' ä Wermdön behagade sammanträda till extra ordinarie Bolagsstämma i morgon OuZdag dc » » o dennes, ft.	119:131	0:168	Herrar Aktieägare uti GustasSbergS Porslin ?-06 WarljnS-tta^riker ' ä Wermdön behagade sammanträda till extra ordinarie Bolagsstämma i morgon OuZdag dc » » o dennes , ft .	15	0:27	herre aktieägare uti gustassbergs porslin $ $ $ ä wermdön behaga sammanträda till extra ordinarie bolagsstämma i morgon ouzdag dc $ $ o denna $ få $
bolagsstämma		1828	1	bib19277277_18280324_147682_71_0002_alto.xml-6-10	 	Herrar Akliäqare uti Änfartyget Föreningen, behagade till den ärliga Bolagsstämman sammanträda Lördagen de » & gt; 9 » ästk.	69:82	0:124	Herrar Akliäqare uti Änfartyget Föreningen , behagade till den ärliga Bolagsstämman sammanträda Lördagen de » & gt ; 9 » ästk .	10	0:22	herre akliäqare uti änfartyget förening $ behaga till den ärlig bolagsstämma sammanträda lördag en $ $ gt $ 9 $ ästk $
bolagsstämma		1827	1	bib13506739_18271217_144030_295_0006_alto.xml-21-53	 	Utom val af ofvan nämnde 2:11c Directörer ocli af 3: ne Kandidater till Ordförande, hvilka i nu föreskrifven ordning anställas, välja Bolagsmännen jemväl vid hvarje sammanträde cn Suppleant, att i händelse under året någon Directör med döden eller eljest från Directioncn afgå? » hans plats till nästa allmänna Bolagsstämma intaga, samt a:nc Suppleanter, att, i händelse Ordföranden afgår, i den ordning deras röstc-antal bestämmer, fylla det underdåniga förslaget till förnyad t Nådigt utnämnande.	311:323	0:498	Utom val af ofvan nämnde 2:11c Directörer ocli af 3 : ne Kandidater till Ordförande , hvilka i nu föreskrifven ordning anställas , välja Bolagsmännen jemväl vid hvarje sammanträde cn Suppleant , att i händelse under året någon Directör med döden eller eljest från Directioncn afgå ? » hans plats till nästa allmänna Bolagsstämma intaga , samt a:nc Suppleanter , att , i händelse Ordföranden afgår , i den ordning deras röstc-antal bestämmer , fylla det underdåniga förslaget till förnyad t Nådigt utnämnande .	53	0:84	utom val af ofvan nämna $ directörer ocli af 3 $ ne kandidat till ordförande $ hvilka i nu föreskrifven ordning anställa $ välja bolagsman jemväl vid hvarje sammanträde cn suppleant $ att i händelse under år någon directör med död eller eljest från directioncn afgå $ $ han plats till nästa allmän bolagsstämma inta $ samt $ suppleant $ att $ i händelse ordförande afgår $ i den ordning de $ bestämma $ fylla den underdånig förslag till förnya t nådig utnämnande $
bolagsstämma		1819	1	bib13506739_18190503_144030_100_0002_alto.xml-4-3	 	Till följe af Bolagsstämmans Beslut förleden gårdag, kommer genom Auktion IGcograsiffa-Znrättninr gen Tre proeent per Akti » att utbelas; Och äga Aktieägarn- i benna Inrättning art.till utbMmmqnde deraf, inlenina sine Aktier till Knmmarförwanbten i Kongl.	14:28	0:255	Till följe af Bolagsstämmans Beslut förleden gårdag , kommer genom Auktion IGcograsiffa-Znrättninr gen Tre proeent per Akti » att utbelas ; Och äga Aktieägarn- i benna Inrättning art .till utbMmmqnde deraf , inlenina sine Aktier till Knmmarförwanbten i Kongl .	3	0:40	till följe af bolagsstämma beslut förled gårdag $ komma genom auktion $ gen tre proeent per akti $ att utbelas $ och äga $ i benna inrättning art $ utbmmmqnde deraf $ inlenina sine aktie till knmmarförwanbten i kongl $
bolagsstämma		1820	1	bib13506739_18200321_144030_67_0001_alto.xml-4-28	 	Herrar köttigare i Stockholms Sjö-AZekiirans-SWffap behagade sammanträda Onsdagen den 29 den« nes klockan half 10 f. ni, i Gula Salen ä Börsen, till den ärliga allmenna Bolagsstämma, som uti de af Kongl.	169:181	0:203	Herrar köttigare i Stockholms Sjö-AZekiirans-SWffap behagade sammanträda Onsdagen den 29 den« nes klockan half 10 f. ni , i Gula Salen ä Börsen , till den ärliga allmenna Bolagsstämma , som uti de af Kongl .	28	0:36	herre köttig i stockholm $ behaga sammanträda onsdag den 29 $ nes klocka half 10 $ ni $ i gul sal ä börs $ till den ärlig allmenna bolagsstämma $ som uti en af kongl $
bolagsstämma		1799	1	bib19520388_17990206_147487_6_0007_alto.xml-1-15	 	När utöfwer de förut arlagde 10 procent, nya tilssotr erfordras, svin ivid första Bolagsstämman ej regleras kunna, underrättar D, rectioneu Jnterestenrerne härom igenom kundgötelse i tidningarna en manad före insättningstiötn- Örn efter denna kundgörelse någon actieägare, utan delvis af laga förfall, försummar inbetalningen, förnyas kundgörelsen nied förta » gande	82:95	0:366	När utöfwer de förut arlagde 10 procent , nya tilssotr erfordras , svin ivid första Bolagsstämman ej regleras kunna , underrättar D , rectioneu Jnterestenrerne härom igenom kundgötelse i tidningarna en manad före insättningstiötn- Örn efter denna kundgörelse någon actieägare , utan delvis af laga förfall , försummar inbetalningen , förnyas kundgörelsen nied förta » gande	15	0:56	när utöfwer de förut arlagde 10 procent $ ny tilssotr erfordra $ svin ivid första bolagsstämma ej reglera kunna $ underrätta d $ rectioneu jnterestenrerne härom igenom kundgötelse i tidning en mana före $ örn efter denna kundgörelse någon actieägare $ utan delvis af laga förfall $ försumma inbetalning $ förnya kundgörelsen nied förta $ gande
bolagsstämma		1812	1	bib19223423_18120418_145063_31_0002_alto.xml-11-3	 	Jnnewarande års allmänna Bolagsstämma för Respective Lott-ägare uti Skepps-Warfwet Gustaf Adolph i Landskrona, är utfatt att hällas härstädes, Måndagen ben r nästkommande Junis, klockan y förmiddagen; font härmed Eungöres.	25:37	0:222	Jnnewarande års allmänna Bolagsstämma för Respective Lott-ägare uti Skepps-Warfwet Gustaf Adolph i Landskrona , är utfatt att hällas härstädes , Måndagen ben r nästkommande Junis , klockan y förmiddagen ; font härmed Eungöres .	3	0:34	jnnewarande år allmän bolagsstämma för respective $ uti $ gustaf adolph i landskrona $ vara utfatt att hälla härstädes $ måndag ben r nästkommande juni $ klocka y förmiddag $ font härmed eungöres $
bolagsstämma		1807	1	bib11653806_18070922_145120_108_0008_alto.xml-7-5	 	Wid Advlpbbergz Helsobrunn blifwer allmän Bolagsstämma hällen desi 17 nästinstundande November, hiv » «wid samteligc Jnlcrcffcnterne erinras,	42:54	0:141	Wid Advlpbbergz Helsobrunn blifwer allmän Bolagsstämma hällen desi 17 nästinstundande November , hiv » «wid samteligc Jnlcrcffcnterne erinras ,	5	0:19	wid advlpbbergz helsobrunn blifwer allmän bolagsstämma häll desi 17 nästinstundande november $ hiv $ $ samteligc jnlcrcffcnterne erinra $
bolagsstämma		1827	1	bib19227291_18271031_145289_44_0005_alto.xml-4-16	 	hwarje annat Bolag, utom i Ordnar, oerhörda stadgande, att ingen wid detta Werks Bolagsstämmor erkännes som Fullmägtig, hwilken ej sjelf är delägare, och äfwen denne, i fall man ka » finna en sadan, ej far rösta för mer än för en jemsörelsewis obetydlig summa, ärv SkånstaStäberne, ehuru med en betydlig Actie-del uti Bolaget, likwäl de facto utestängde ifrän all rättighet att deltaga i öfwcrläggningarne om WerketS angelägenheter, eller åtminstone ifrån allt inflytande pä Werkets organisation och förwallning.	81:94	0:512	hwarje annat Bolag , utom i Ordnar , oerhörda stadgande , att ingen wid detta Werks Bolagsstämmor erkännes som Fullmägtig , hwilken ej sjelf är delägare , och äfwen denne , i fall man ka » finna en sadan , ej far rösta för mer än för en jemsörelsewis obetydlig summa , ärv SkånstaStäberne , ehuru med en betydlig Actie-del uti Bolaget , likwäl de facto utestängde ifrän all rättighet att deltaga i öfwcrläggningarne om WerketS angelägenheter , eller åtminstone ifrån allt inflytande pä Werkets organisation och förwallning .	16	0:89	hwarje annan bolag $ utom i orden $ oerhörd stadga $ att ingen wid denna werks bolagsstämma erkänna som fullmägtig $ hwilken ej sjelf vara delägare $ och äfwen denna $ i fall man ka $ finna en sadan $ ej fara rösta för mer än för en jemsörelsewis obetydlig summa $ ärva skånstastäberne $ ehuru med en betydlig $ uti bolag $ likwäl $ $ utestänga ifrän all rättighet att delta i öfwcrläggningarne om werkets angelägenhet $ eller åtminstone ifrån allt inflytande pä werkets organisation och förwallning $
bolagsstämma		1819	1	bib13506739_18190618_144030_138_0001_alto.xml-1-23	 	De private Aktic-ägarnc uti Riks-Olskont-Wcrkct, anmodas härmedelst att Lördagen ben 19 nästkom » mande Juni kl. 12 pa dngen sammanträda till allmenn Bolagsstämma o«tt Herrar Banko-Zullmäktigcs Scsswnsrum, för att öfwcrlägga uti ätstilllge wigtige ämnen, som da komma att Nit deras afgörande framställas; hörandes Akricrne, hwara en ytterligare utdelning af t » Procent nu erhallcS, dch förinnan till Riks-Oiskoat-Werkcts Kamcrcrare-Kontor inlemnas; och erinras Aktie-ägarne härjemte, t enlighet med Herrar Revisorers önff.	150:162	0:523	De private Aktic-ägarnc uti Riks-Olskont-Wcrkct , anmodas härmedelst att Lördagen ben 19 nästkom » mande Juni kl. 12 pa dngen sammanträda till allmenn Bolagsstämma o«tt Herrar Banko-Zullmäktigcs Scsswnsrum , för att öfwcrlägga uti ätstilllge wigtige ämnen , som da komma att Nit deras afgörande framställas ; hörandes Akricrne , hwara en ytterligare utdelning af t » Procent nu erhallcS , dch förinnan till Riks-Oiskoat-Werkcts Kamcrcrare-Kontor inlemnas ; och erinras Aktie-ägarne härjemte , t enlighet med Herrar Revisorers önff .	23	0:79	de privat $ uti $ $ anmoda härmedelst att lördag ben 19 nästkom $ mande juni $ 12 pa dngen sammanträda till allmenn bolagsstämma $ herre $ scsswnsrum $ för att öfwcrlägga uti ätstilllge wigtige ämne $ som da komma att nit de afgöra framställa $ höra akricrne $ hwara en ytterlig utdelning af t $ procent nu erhallcs $ dch förinnan till $ $ inlemna $ och erinra $ härjemte $ t enlighet med herre revisor önff $
bolagsstämma		1830	1	bib11653823_18300329_144010_72_0003_alto.xml-32-10	 	Resp. Uetieägäre r Westerns RcderiBolag kallas härmedelst till andra ordinarie Bolagsstämman för inneiv.	79:92	0:104	Resp. Uetieägäre r Westerns RcderiBolag kallas härmedelst till andra ordinarie Bolagsstämman för inneiv .	10	0:14	$ uetieägäre r western rcderibolag kalla härmedelst till annan ordinarie bolagsstämma för inneiv $
bolagsstämma		1809	1	bib11653806_18090130_145120_17_0003_alto.xml-8-10	 	Intressenterna uti f. d. West-Indissa Compagniet anmodas att till allmän Bolagsstämma sammanträda, Kongl- Kammar-Cvllegu mindre Sessions- rum, lördagen den 18 instundande Febr., kl. 11 f. m., samt att till den ändan förut och sednast den & gt; 6 i samma mtnad inlemna fine Ae » tier pä CompagnietS Contor wid Jerntorget, der de alla Söcknedagar, frän kl. 11 till 1 emottagaS.	73:85	0:375	Intressenterna uti f. d. West-Indissa Compagniet anmodas att till allmän Bolagsstämma sammanträda , Kongl- Kammar-Cvllegu mindre Sessions- rum , lördagen den 18 instundande Febr . , kl. 11 f. m . , samt att till den ändan förut och sednast den & gt ; 6 i samma mtnad inlemna fine Ae » tier pä CompagnietS Contor wid Jerntorget , der de alla Söcknedagar , frän kl. 11 till 1 emottagaS .	10	0:71	intressent uti $ $ $ compagniet anmoda att till allmän bolagsstämma sammanträda $ $ $ liten session rum $ lördag den 18 instunda feber $ $ $ 11 $ m $ $ samt att till den ända förut och sednast den $ gt $ 6 i samma mtnad inlemna fin ae $ tier pä compagniets contor wid jerntorget $ der de all söcknedagar $ frän $ 11 till 1 emotta $
bolagsstämma		1830	1	bib11653823_18300506_144010_103_0003_alto.xml-24-10	 	Gustafsbergs Porcellaines- och WarljuSsabriks Hrr Aetreägare behagade sammanträda till ordinarie Bolagsstämma, Onsdagen d.	97:109	0:122	Gustafsbergs Porcellaines- och WarljuSsabriks Hrr Aetreägare behagade sammanträda till ordinarie Bolagsstämma , Onsdagen d .	10	0:15	gustafsbergs $ och warljussabriks hrr aetreägare behaga sammanträda till ordinarie bolagsstämma $ onsdag d $
bolagsstämma		1826	1	bib19225772_18261229_148004_150_0001_alto.xml-1-39	 	Samtelige Delägare uti Trollhätte Canal och Slusiwerks Bolag an » mödås och kallas härmedelst att den (31) Trettiondeförste instundande Januari, kl. lo förmiddagen, sammanträda a Handels Societetens Rum i Götheborg, till hastande af Extra Bolagsstämma i anledning af ett af Kongl.	239:251	0:280	Samtelige Delägare uti Trollhätte Canal och Slusiwerks Bolag an » mödås och kallas härmedelst att den ( 31 ) Trettiondeförste instundande Januari , kl. lo förmiddagen , sammanträda a Handels Societetens Rum i Götheborg , till hastande af Extra Bolagsstämma i anledning af ett af Kongl .	39	0:47	samtelige delägare uti trollhätte canal och slusiwerks bolag an $ mödås och kalla härmedelst att den $ 31 $ trettiondeförste instunda januari $ $ lo förmiddag $ sammanträda a handels societet rum i götheborg $ till hasta af extra bolagsstämma i anledning af en af kongl $
bolagsstämma		1827	1	bib13506739_18271130_144030_281_0001_alto.xml-15-52	 	Såwida nuwarande Delägare i Brandförfäkringowerktts Stadsfond, i all, mänhet fortfara med dellagande uti werket, vch endast ett mindre betydligt antal bland dem afträda frän delaktigheten uti denna inrättning, så anse wi äfwen Delägarne » ti Lunds Sta » deruti böra fortfara, under förbehåll att följande wilkor wid Bolagsstämman d.	316:329	0:332	Såwida nuwarande Delägare i Brandförfäkringowerktts Stadsfond , i all , mänhet fortfara med dellagande uti werket , vch endast ett mindre betydligt antal bland dem afträda frän delaktigheten uti denna inrättning , så anse wi äfwen Delägarne » ti Lunds Sta » deruti böra fortfara , under förbehåll att följande wilkor wid Bolagsstämman d .	52	0:55	såwida nuwarande delägare i brandförfäkringowerktts stadsfond $ i all $ mänhet fortfara med dellagande uti werket $ vch endast en liten betydlig antal bland de afträda frän delaktighet uti denna inrättning $ så anse wi äfwen delägare $ ti lund så $ deruti böra fortfara $ under förbehåll att följa wilkor wid bolagsstämma d $
bolagsstämma		1820	1	bib13506739_18200121_144030_16_0002_alto.xml-5-5	 	tadt Som wid sist hällen Bolagsstämma med Jnteressenterne i Skönwiks Glas-Bruk den 8 huslig, befludles, att för Wcrkets b:tit, ofördröjlig inbetalning af Etthundrade Riksdaler Banko för hwarje	25:37	0:192	tadt Som wid sist hällen Bolagsstämma med Jnteressenterne i Skönwiks Glas-Bruk den 8 huslig , befludles , att för Wcrkets b:tit , ofördröjlig inbetalning af Etthundrade Riksdaler Banko för hwarje	5	0:30	tadt som wid sist häll bolagsstämma med jnteressenterne i skönwiks $ den 8 huslig $ befludles $ att för wcrkets $ $ ofördröjlig inbetalning af etthundrade riksdaler banko för hwarje
bolagsstämma		1818	1	bib11653806_18180317_145120_31_0004_alto.xml-0-13	 	jprr fottågart i Stockholms CiJäjjernrar-eSÄll » stay, kallas där-redelst till den allmänna Bolagsstämma, som uti de of Kon, l.	92:104	0:127	jprr fottågart i Stockholms CiJäjjernrar-eSÄll » stay , kallas där-redelst till den allmänna Bolagsstämma , som uti de of Kon , l .	13	0:23	jprr fottågart i stockholm $ $ stay $ kalla $ till den allmän bolagsstämma $ som uti de of ko $ l $
bolagsstämma		1829	1	bib13506739_18290416_144030_88_0003_alto.xml-1-1	 	ordinarie Bolagsstämma, för arr werkstalla der soin stadgas i 5 och 14 §!- af demälte Reglemente.	10:22	0:97	ordinarie Bolagsstämma , för arr werkstalla der soin stadgas i 5 och 14 § !- af demälte Reglemente .	1	0:19	ordinarie bolagsstämma $ för arr werkstalla der soi stadga i 5 och 14 $ $ af demälte reglemente $
bolagsstämma		1821	1	bib19225772_18210525_148004_60_0003_alto.xml-7-4	 	uppbara den genom sista Bolagsstämman beslutade afbetalning, dä Aktierne w^d tillfället torde förewisas för att päreknas.	24:37	0:121	uppbara den genom sista Bolagsstämman beslutade afbetalning , dä Aktierne w^d tillfället torde förewisas för att päreknas .	4	0:18	uppbara den genom sista bolagsstämma besluta afbetalning $ dä aktierne $ tillfälle torde förewisas för att päreknas $
bolagsstämma		1829	1	bib11653823_18290812_0_184_0004_alto.xml-35-16	 	Till följe af sista Bolagsstammobestutet, kallas samtlige Hrr Interetzcnter i Gustafsbergs Fabrikers Bolag till ertraordinaric Bolagsstämma, Onsdagen d.	127:139	0:152	Till följe af sista Bolagsstammobestutet , kallas samtlige Hrr Interetzcnter i Gustafsbergs Fabrikers Bolag till ertraordinaric Bolagsstämma , Onsdagen d .	16	0:21	till följe af sista bolagsstammobestutet $ kalla samtlig hrr interetzcnter i gustafsbergs fabrik bolag till ertraordinaric bolagsstämma $ onsdag d $
bolagsstämma		1813	1	bib19225772_18130505_148004_50_0002_alto.xml-1-10	 	Diskont-Inrättning, anmodas samtelige Bolagets Delägare att biwista den ärliga Bolagsstämman, som kommer att hällas uti stora Beurssalen i Stockholm Tisdagen d. i:ste näst!.	79:92	0:173	Diskont-Inrättning , anmodas samtelige Bolagets Delägare att biwista den ärliga Bolagsstämman , som kommer att hällas uti stora Beurssalen i Stockholm Tisdagen d. i:ste näst ! .	10	0:27	$ $ anmoda samtelige bolag delägare att biwista den ärlig bolagsstämma $ som komma att hälla uti stor beurssalen i stockholm tisdag $ $ näst $ $
bolagsstämma		1808	1	bib11653825_18080625_145134_76_0004_alto.xml-4-54	 	fönnidd. » för art erhälla berättelse om WerketS tillstånd och föcwaltning, widtaga de bestur, som nödige finna), samt, jemte Revisorer för granskning as sörwaltningen och räkenssaperne, till Bolaget » nästa sammankomst wälja andre eller samma Directeurer i de -: ne DireeteurerZ ställen, som wid denna Bolagsstämma komma att denna utlottas; börande?	303:315	0:350	fönnidd . » för art erhälla berättelse om WerketS tillstånd och föcwaltning , widtaga de bestur , som nödige finna ) , samt , jemte Revisorer för granskning as sörwaltningen och räkenssaperne , till Bolaget » nästa sammankomst wälja andre eller samma Directeurer i de - : ne DireeteurerZ ställen , som wid denna Bolagsstämma komma att denna utlottas ; börande ?	54	0:62	fönnidd $ $ för art erhälla berättelse om werkets tillstånd och föcwaltning $ widtaga en bestur $ som nödig finna $ $ samt $ jemte revisor för granskning as sörwaltningen och räkenssaperne $ till bolag $ nästa sammankomst wälja andra eller samma directeurer i en $ $ ne direeteurerz ställe $ som wid denna bolagsstämma komma att denna utlotta $ börande $
bolagsstämma		1810	1	bib11653825_18100313_145134_29_0004_alto.xml-10-60	 	Till följe häraf bedagade de Bctieägare, ftin uti Stcckholm wilja lyfta sistiidac ecS Dividend pä Per Falck; Tonkor uci Huset N:o li; wid Munkbron, alla Onsdag; och Lördag; förmiddagar inlemna fine Siener under lcppet af Mae » mänad, hwarefter uldclningarne i samma ordning i April månad utlemuaS; och svin e » allmän Bolagsstämma i Göteborg kommer aik hallas den 7Apcil, sr funna de Actie, innehafware, hwilka d ' r.	318:330	0:417	Till följe häraf bedagade de Bctieägare , ftin uti Stcckholm wilja lyfta sistiidac ecS Dividend pä Per Falck ; Tonkor uci Huset N:o li ; wid Munkbron , alla Onsdag ; och Lördag ; förmiddagar inlemna fine Siener under lcppet af Mae » mänad , hwarefter uldclningarne i samma ordning i April månad utlemuaS ; och svin e » allmän Bolagsstämma i Göteborg kommer aik hallas den 7Apcil , sr funna de Actie , innehafware , hwilka d ' r .	60	0:81	till följe häraf bedagad en bctieägare $ ftin uti stcckholm wilja lyfta sistiidac ecs dividend pä per falck $ tonkor uci hus $ lie $ wid munkbron $ all onsdag $ och lördag $ förmiddag inlemna fin siener under lcppet af mae $ mänad $ hwarefter uldclningarne i samma ordning i april månad utlemuas $ och svin e $ allmän bolagsstämma i göteborg komma aik halla den 7apcil $ sr finna en actie $ innehafware $ hwilka d $ r $
bolagsstämma		1829	1	bib19225772_18291208_148004_140_0002_alto.xml-4-40	 	i afseende pa den insätt,, ing, som för Aknerne är i fragg, och att rådgöra i ämnet, samt öfwerenskomma om det yttrande, fom wid den till den 16 i denna månad i Stockholm steende Bolagsstämma, kan böra i frägan afgifwaS.	179:191	0:220	i afseende pa den insätt , , ing , som för Aknerne är i fragg , och att rådgöra i ämnet , samt öfwerenskomma om det yttrande , fom wid den till den 16 i denna månad i Stockholm steende Bolagsstämma , kan böra i frägan afgifwaS .	40	0:48	i afseende pa den insätta $ $ ing $ som för aknerne vara i fragg $ och att rådgöra i ämne $ samt öfwerenskomma om den yttrande $ få wid den till den 16 i denna månad i stockholm steende bolagsstämma $ kunna böra i frägan afgifwas $
bolagsstämma		1820	1	bib13506739_18200422_144030_92_0003_alto.xml-9-9	 	Söderrelje Ranal och Slusirverks Bolag af Direktionen; wid Bolagsstämman i Södertelje den 23 September 1819.	59:72	0:108	Söderrelje Ranal och Slusirverks Bolag af Direktionen ; wid Bolagsstämman i Södertelje den 23 September 1819 .	9	0:17	söderrelje ranal och slusirverks bolag af direktion $ wid bolagsstämma i södertelje den 23 september 1819 $
