,context_id,word,gold_sense_id,predict_sense_id,positions,context
1067,1068,курица,1,,99-103," и через неделя действительно весь образоваться. крыша починить, кухарка, кума старостин, достать, кура купить, молоко стать доставать и загородить жердь сад, каток сделать плотник, к"
1068,1069,курица,1,,59-63," и смотреть на звезда. и в это время она сравнивать себя с кура, который тоже весь ночь не спать и испытывать беспокойство, когда в курятник"
1069,1070,курица,1,,79-83," я в магазин гэдээр. а дедушка только ответить: « я знать », добавить: « тупой кура » -- и уйти. надо ещё раз спросить, что такой « извещение », « война » и про"
1070,1071,курица,1,,77-81," быть выявить ранее и мочь привести к пожар, театр устранить. массовый падеж кура на птицефабрика в сель фок чайковский район быть вызвать технический причина, сообщать"
1071,1072,курица,1,,68-72,". посьета и с.п. шварц: они привезти из шанхай зелень, живой быков, кура, утка, слово, свежевать провизия и новость, но не свежий: от август, а"
1072,1073,курица,1,,69-80," и ежели она оставить жизнь, то быть рецидив. женщина! один слово -- бабы.курица не птица, баба не человек. баба -- это зло, от она весь несчастие"
1073,1074,курица,1,,112-116," пермский край инна березина, накануне краевой ветеринарный диагностический центр провести исследование мёртвый кура. при вскрытие труп пасть птица установленный отечь лёгкое, гиперемия сосуд головной мозг."
1074,1075,курица,1,,81-85," разобрать слово. офицер и матрос, находиться на мостик, на весь лада проклинать кура: -- чтоб имя сдохнуть! -- сбеситься, окаянный! с один же русский выстрел крейсер « идзумить"
1075,1076,курица,1,,85-89," команда солдат, который толпа направляться в соседний деревня или тащить из деревня кура, баранов, сено или мешок, что-то наполнить. на спуск и подъём толпа делаться"
1076,1077,курица,1,,83-87," изба, меж четыре стена( коли переночевать пустить ты), между лавка, баба, ребята, кура, прусак и клоповый; сидеть и таиться либо клянчить под окно; как сидеть,"
1077,1078,курица,1,,66-70," рад, но вернуться к нормальный жизнь уже не мочь, ибо ложиться с кура и тихо ходить он привыкнуть и не говорить о болезнь он уже"
1078,1079,курица,1,,93-99," с разорвать, прозрачный, без пыльца, крылышко, мёртвый рыбёшка, выбросить на берег, мёртвый курица, который лежалый в кухня на лавка: шея у нея быть длинный, как"
1079,1080,курица,1,,73-77," старое и перестать нести яйцо! -- прибавить форс. -- и кроме тот, чтобы кура долго нестись, необходимый найти петух, -- отметить смит. всё-таки согласиться пощадить пока жизнь"
1080,1081,курица,1,,2-8,. курица бежать быстрый. поехать под 100. курица бежать быстрый. поехать под 120.курица перегонять он и заворачивать за угол. новый русский заехать на ферма и
1081,1082,курица,2,,60-72," ложь. но тем не менее надо понимать, что голодомор тоже не было.кура-то ведь как-то покупать ... хотя если бы ещё потянуть с освобождение цена,"
1082,1083,курица,2,,69-76, весь несколько минута на небольшой огонь. подавать в блюдо с крышка .курица с чеснок в сотерн poulet aux perles d' ail doux et au
1083,1084,курица,2,,96-102,", что слово, который хотеть зарегистрировать mcdonald ’ s, с английский язык переводиться как « курица » и « бекон », а значит, говорят о свойство продукт, и зарегистрировать они невозможно."
1084,1085,курица,2,,104-108," возможность применение антиоксидант. быть апробировать 6% -ный раствор полифосфат для охлаждение тушка кура перед механический обвалка, что обусловить снижение содержание карбонильный соединение в мясо кура"
1085,1086,курица,2,,96-102, оптовый база с это мнение солидарный. специалист добавлять: ощутимый увеличение стоимость мясо курица можно ждать в конец лето. оно быть сезонный. обычно в это время
1086,1087,курица,2,,67-73," рык – как в настоящий, дикий саванна.- кормить я он по один сырой курица в день, как владелец попросить. тушка насаживать на пол-метровый вилка для"
1087,1088,курица,2,,71-77,". луковица почистить, воткнуть в нея 5- 6 гвоздик. слить из кастрюля с курица закипеть вода, залить она 1,5 литр холодный вода и довести до"
1088,1089,курица,2,,84-90,", сальса- 350. 11 пополнить запас белок. он богатый источник- красный постный мясо, курица, индейка, рыба, яйцо, сыр, орех и зерновой. это способствовать выработка серотонин. 12"
1089,1090,курица,2,,23-27,", 10 пара буженина, 40 кура в шафрановый уха, 20 потрохов гусиный, 30 кура на вертел, 30 кура в лапша, 6 кура в каша, 15 кура"
1090,1091,курица,2,,1-5," кура на вертел, 30 кура в лапша, 6 кура в каша, 15 кура в раствор, 60 сковорода мант ... »"
1091,1092,курица,2,,39-45,"- ну показывать, как отличить заразить курица от здоровый,- требовать я.- народ обязательно надо предупредить!- увы. на глаз"
1092,1093,курица,2,,73-79," арбуз из средний азия с жуткий акцент и золотой зуб, — говорить, купить курица. я спросить, зачем? а он говорить, чтобы кушать. я сказать, что у"
1093,1094,курица,2,,12-16," в слив, 60 кура жареный, 20 гусь жареный, 10 пара буженина, 40 кура в шафрановый уха, 20 потрохов гусиный, 30 кура на вертел, 30 кура"
1094,1095,курица,2,,73-79,". л. майонез, зелень, карри или любой другой приправа по вкус. готовить: курица и очистить картошка порезать кубик, добавить кусочек ананасовый и нарубить зелень. весь"
1095,1096,курица,2,,76-82,". сыр, колбаса, даже сливочный масло сохранить свой вкус и аромат.* жареный курица, завернуть в фольга и уложить в плотно закрываться кастрюлька, остаться долго тёплый"
1096,1097,курица,2,,68-74," менее 35-40 минута. а здесь- хороший кулинарный блог в сеть нужно: курица без кожа, разделать на порция. маринад: 300 год натуральный йогурт или кефир,"
1097,1098,курица,2,,98-102," смущать », — сказать « известие » довид карпов. в каждый синагога в преддверие праздник закупать кура, но есть и альтернатива для слабонервный житель мегаполис. главный событие йом-кипур —"
1098,1099,курица,2,,90-96," садысить, дорогой!- сказать я с грузинский акцент сухопарый незнакомец и протянуть кусок курица и лаваш.- отведать грузинский еда. я не стать привередничать и, конечно, отведать"
1099,1100,курица,2,,86-92," помимо суп тоже обязательно присутствие овощ и мясо( источник белок). рыба, нежирный курица или котлета, приготовить на пара, вместо привычный картошка или макароны хороший сочетать"
1100,1101,курица,2,,86-90,", магазин швейцарский часы. очень чистенько и недорого. сеть ларёк « куры-гриль », вы кура любить? ..- н-нет!- рявкать я.- хотеть салон красота!- приходить. небольшой"
1101,1102,курица,2,,92-98," цыплёнок-гриль и кончик он ножка предусмотрительно обернуть фольга. грызть крылышко варена курица можно позволить себя только в семейный круг, но ни в кой случай"
1102,1103,курица,2,,88-94,". ну мы обрадоваться, искупаться, он мы угощать. ребята восхищаться: мол, какой вкусный курица быть, а потом, когда съесть, спрашивать: « саша, а где курица-то взять? »"
1103,1104,курица,2,,93-105," ещё большой уплотнить животное и усилить они эксплуатация по западный образец. производство кура-бройлер уже подтягиваться к западный показатель и по параметр уплотнение, и по"
1104,1105,курица,2,,77-83," задний комната, под старое ящик, -- отвечать он, не подымать глаз с жареный курица, который разрезать на четыре часть, чтобы убедиться, не спрятать ли в она"
1105,1106,курица,2,,102-106,", нитрозамин, кадмий не обнаружить. сабина мальяна.( « кп »- краснодар »). как выяснить происхождение кура? если торговец божиться, что кура отечественный, а фирменный упаковка российский птицефабрика на"
1106,1107,курица,2,,79-85," он и достаточно калорийный, а раз в неделя- даже что-нибудь жареный, например курица, но без кожа или мясо без жир. есть надо небольшой порция, но"
1107,1108,курица,2,,77-83," ножка, а в это ларёк продавать копчёный кура. -- подходить к ларёк. читать: курица стоить 26 рубль. -- даже деньга есть, -- открывать кошелёк. -- ты успеть получить"
1108,1109,курица,2,,90-96," стол стоять заморский бутылка, на большой блюдо громоздиться трупик крохотный птичка. ни курица, ни баран, ни корова, разделать для продажа, не вызывать у нина такой"
1109,1110,курица,2,,93-99," благодарить за визит, фотографироваться в обнимка. а на прощание подарили… целовать жареный курица. александр привезти она в благовещенск и сказать, что съесть, когда вернуться из"
1110,1111,курица,2,,87-93," паикий. что-то словно проситься наружу, но он сдерживаться, пить чаять, есть холодный курица, смотреть в окно и ждать ночь. он не нравиться жёсткий редкий волосок"
1111,1112,курица,2,,83-89," уменьшить количество начинка и регулировать они состав( сыр, овощ, гриб, рыба или курица), то пусть порция быть не большой 100- 150 г. а вот `` крошку-"
1112,1113,лавка,1,,77-82," забегать перед она, засуетиться, потом упасть на колено и, отрывать нюра от лавка, закричать она в самый ухо: -- слышь, нюркий, да ты что? да это"
1113,1114,лавка,1,,71-76," весь матч знарка стоить на скамейка запасный перед игрок, а не позади лавка, как нынче принять. впрочем, « стоить » – сказать неверный. наставник « милиционер » весь время в"
1114,1115,лавка,1,,66-71," просто не уметь разыгрывать лишний. они же в свой клуб сидеть на лавка, как арестованный. проводить на лёд всего несколько смена на подхват и уж"
1115,1116,лавка,1,,74-79," тот сдохнуть! ин подь сюда! вывести её на улица, оглянуться, посадить на лавка, сесть ряд с она и начать уговаривать. -- ну -- молчать! сидеть. вот -- ночь"
1116,1117,лавка,1,,87-92," жилища соответствовать и весь прочий обстановка: деревянный и глиняный посуда, стол и лавка грубый работа, закоптить потолок с палать, соломенный или тростниковый кровля и пр."
1117,1118,лавка,1,,85-90, к россиянин. павлюченко завершить сезон на минорный нота. краучий посадить роман на лавка? « тоттенхэма » объявлять о трансфер форвард « портсмут » питер краучить. агент павлюченко олег артем
1118,1119,лавка,1,,75-80," угол молодяк за стан сидеть, на земеть робятка валяться, старый лапоть на лавка ковырять ... то есть, видать и перевидать я весь это. однако тут бог"
1119,1120,лавка,1,,80-85," за другой, вереница пронестись перед он духовный взор. он сидеть неподвижно на лавка, с глаз, устремить в пространство. горбун, посидеть ещё несколько минута, не вступать"
1120,1121,лавка,1,,73-78,", где находиться юрий с двор свой, быть обширный. наскоро выломать в она лавка и полати, завесить чёрный стена она ковёр, набросать по пол солома и"
1121,1122,лавка,1,,76-81, и свеча. на подсвечник висеть тетеревиный хвост для гашение свеча. по стен лавка. на они толстой книга в кожаный и деревянный переплёт с медный застёжка
1122,1123,лавка,1,,88-93," факел?! во-первых, на пол простёртый быть прострелить насквозь кошка, и, во-вторых, на лавка лежалый в глубокий обморок мой друг. разумеется, мы прежде всего употребить энергический"
1123,1124,лавка,1,,91-96,",- почему-то возмутиться михаил юрий. и после пауза как отрезать:- достойный! '' пятеро по лавка пока в российский политический среда большой пара отпрыск заводить не модно. даже"
1124,1125,лавка,1,,79-84," играть. если аршавино заключить с « зенит » контракт и сесть себя спокойно на лавка, то мочь сказать, что такой аршавино « зенит » точно не нужный. это быть"
1125,1126,лавка,1,,87-92," нога скамейка. этот ветхозаветный история повергнуть быть мы в уныние- значит, чистый лавка мы не видать! но художник утешить: для тот они и красить скамейка,"
1126,1127,лавка,1,,83-88," гореть нездоровый, тревожный огонь; я страшиться увидеть себя и избегать место на лавка, у дьячок за стол, против тусклый зеркало в бумажный, густо засидеть муха,"
1127,1128,лавка,1,,66-72," весь забыть, начать с чистый лист ». а потом сразу посадить я на лавку… напомнить, что история « авангард » и сумманена давно уже балансировать на грань разумный."
1128,1129,лавка,1,,82-87," быть теперь запереть, а этот два достаться лебядкина. мебель состоять из простой лавка и тесовый стол, кроме один лишь старое кресло без ручка. в два"
1129,1130,лавка,1,,89-94," нечаянно. дверь ушибить. дверь. дверь -- тяжёлый ». он повернуться и грузно присесть на лавка, -- сзади он стоялый тихон с метла в рука, смотреть жидкий глаз на"
1130,1131,лавка,1,,79-84," егорыч, нанимать от свой имя несколько бедный промышленник, сидеть в кухня на лавка. пока двое из он охотник поспешно разгружать на двор привезти добыча, двое"
1131,1132,лавка,1,,75-80,". молчать день, зато говорить ночь. и ночь говорить всегда один. сидеть на лавка двое слепой: стратон и агафья, один -- сухопарый и сжатый, другой -- дородный, с"
1132,1133,лавка,1,,72-77,", не отрывать от он глаз с самый начало, отложить ложка, соскользнуть с лавка и, морщить нос, улыбнуться. в рот у нея не хватать несколько зуб."
1133,1134,лавка,1,,68-73," под влияние страх. прежде всего он на ум пришлый мысль захватить с лавка свой сапог и удрать, благо дверь настежь быть открытый. но шум дождь"
1134,1135,лавка,1,,124-130," современный ландшафтный архитектура, освещение, возможность кататься на велосипед, засеять газон, поставить дополнительный лавки— и в парка моментально качественно поменяться публика! если возможно так быстро менять"
1135,1136,лавка,1,,70-75," ещё слышный, и народ зашевелиться даже в изба: по печь, припечка, на лавка, на полати и на пыльный загнётка послышаться шорох и движение, и человек"
1136,1137,лавка,1,,84-89," перемыть после ужин посуда. митька -- тот уже давно храпеть, удобно растянуться на лавка. помолиться бог и положить несколько земной поклон, аксинья полезть на лежанка, где"
1137,1138,лавка,1,,63-68,"? не я ты наказуй, а ты сам себя ... полуект степаныч сесть на лавка и горько заплакать. игумен тоже стишать и молча он наблюдать."
1138,1139,лавка,1,,30-35, сей лето на место деревенный лавка выстроить два корпус -- каменный лавка и покрыть железо. сей год урожай хлеб
1139,1140,лавка,1,,78-83," и воля. знарка даже петружалек заставить бороться и биться, усадить разок на лавка. у олег нет бесхребетный. поэтому команда вытаскивать равный матч, выигрывать в нюанс."
1140,1141,лавка,1,,70-75," он тут? зачем у он глаз голый? маленький напугаться наш ... бадья на лавка, чебак на гвоздь: -- бурий он к мы выкинуть. от саватея, небось, монашка"
1141,1142,лавка,1,,74-79," глаз и увидеть старец, хозяин свой; он сидеть в задумчивость на дерновый лавка, шаг в пять от я; подле он стоялый тот человек, который ввести"
1142,1143,лавка,1,,84-89,", потом на бойко. хижняк недоумевающий и обиженно пожать необъятный плечо, сесть на лавка, отвернуться, а бойко, трястись, как студень, от сдерживать смех, наконец-то прокричать"
1143,1144,лавка,1,,88-93,", жидкий пятно расплыться налево от вход. потом обозначиться тёмный фигура -- сидеть на лавка и стоять с жестяной кружка человек в мокрый, прель пахнуть шинель. потом"
1144,1145,лавка,1,,86-91," я, фантом память -- некий пруст фёдор. пермский полунощный спасти сидеть на тюремный лавка. он прислушиваться к правый деревянный ладонь, поднести к уха, подобно плоский мобильный"
1145,1146,лавка,1,,7-12," и под лавка сундук опрокинуть лежать; и погнуться изба, как старушка, стоить. вспомнить время свой:"
1146,1147,лавка,1,,66-71," спрячь хороший язык далёкий ». тут я войти в хату. глядеть, а на лавка рубашка лежать, порвать и весь в кровь. и как увидать я, село"
1147,1148,лавка,1,,86-91,", остричь бобриком, казаться ещё маленький на это большой тяжёлый тело, занимать весь лавка на корма между девушка. -- передать я аккордеон, -- сказать круминьша мартын. получить инструмент"
1148,1149,лавка,1,,80-85," уже друг из киевский « динамо » поздравить, олег блохин, мой жена, – сидеть на лавка, делиться счастие сергей ребровый, остаться в один майк. футболка с номер « 14 »"
1149,1150,лавка,1,,79-84," на какой крик они обращать внимание не собираться. царь соломон опуститься на лавка, надеть золотой венец и, кое-как отмахиваться ладонь от дым, вещать:"
1150,1151,лавка,1,,86-92,", что быть работать в правительство. поэтому иногда хотеться взять свисток, встать за лавку- это мой, родной, но ... но то, что я делать сейчас, в больший"
1151,1152,лавка,1,,51-56," венец. у ты -- жена с дитема, а у я они семеро по лавка. ежели б пустить я ты -- я б убить казак, ребёнок по мир"
1152,1153,лавка,1,,78-83," себя, чтобы не запачкать штаны – сидеть ведь на деревянный, не всегда чистый лавка. поэтому « новенький », типографский программка у я очень мало. а, к пример, в"
1153,1154,лавка,1,,90-95," только тринадцать исполниться, весь -- подменить ... -- нина село с он ряд на деревянный лавка и кричать теперь он в ухо: -- что мы только не делать! я"
1154,1155,лавка,1,,64-69," пройти на весло, от грех снять с транец мотор, упрятать он под лавка. мы миновать тихий ход неопознавать проржавить до дыра баркас, пустой палуба, в"
1155,1156,лавка,1,,61-76,". а теперь негде даже они кормить- трава-то нет, весь кругом застроили.лавка с вид на замок потеснить галкин и местный молодёжь. ранний вечерний посиделки"
1156,1157,лавка,1,,64-69," ответить и тотчас же выйти из комната, пройти в кухня, село на лавка и горько заплакать. рым уехать с дилетаев. « женитьба » в один день быть"
1157,1158,лавка,1,,73-78," этот грязь! не стыдно ты разбой этот делать? старуха, рыдать, упасть на лавка. лелька с строгий лицо связывать в узел отобрать вещий. юркий и пастух"
1158,1159,лавка,1,,65-71, мяч. я должный быть они брать. но не взять. ошибиться. сесть на лавку… – экс-тренер динамовский дубль сергей силкина заявить недавно в интервью « ссф »: « единственный
1159,1160,лавка,1,,74-79," -- что ты сказать, свирид михайлыч? -- спросить иван егорыч, садиться на лавка у стол. в печка на сковорода верещать свинина, хозяйка, засучить рукав, возиться"
1160,1161,лавка,1,,51-56," не выдумать, весь так быть. отремонтировать баня, лавка новое, чистый, и над лавка каждый -- свой персональный душа. но рукоятка управление, кран весь вынести на один,"
1161,1162,лавка,1,,78-83, четвертьфинал быть уволить с скандал – перед решающий матч серия он убрать с лавка из-за конфликт с игрок. а в нынешний декабрь сумманный вновь вернуться в
1162,1163,лавка,1,,18-23, встать алексей с лавка и зачать ходить взад и вперёд по подклет. -- тайный дума какой? --
1163,1164,лавка,1,,65-70," квакер. в двенадцать часы я прийти к он в церковь: голый стена, лавка и кафедра. весь одетый просто; женщина не только без румяный и пудра,"
1164,1165,лавка,1,,69-74,", особливо в литва, но для первое раз очень неприятно быть лежать на лавка и не сметь подняться кверху, чтоб не очутиться в дымный, удушать атмосфера;"
1165,1166,лавка,1,,84-89," лоб, надеть свой большой шапка и, запахивать новый домодельный кафтан, пролезть на лавка и сесть, остальной последовать он пример. когда весь разместиться, нехлюдов сесть против"
1166,1167,лавка,1,,73-78," форвард для тот, чтобы они забивать. если не справляться, сажать они на лавка, пробовать в другой сочетание, пока не найти оптимальный. вот нащупать связка разин –"
1167,1168,лавка,1,,76-81," важность отвечать егор шибаев и только что хотеть что-то рассказать, как к лавка подойти куприян, мозявыя и васька. куприян не знать егор, шибаев не знать"
1168,1169,лавка,1,,79-84," больно, не страшно, но присесть на поп прилично, задержаться за железный лапа лавка. мы смеяться. мы говорить, что мессир где-то тут от скука щупать утка,"
1169,1170,лавка,1,,101-106,", раздражить ребёнок, который, поднять плечо в ожидание неизбежный подзатыльник, тихонько сползать с лавка, чтобы поиграть сальный бумажка на пол, у нога пассажир. франц дойти до"
1170,1171,лавка,1,,78-83," найти он замена. а вот потеря воронин для « динамо » более существенный — на лавка, в запас футболист, по уровень равноценный андрей, у москвич, наверное, нет. напомнить,"
1171,1172,лавка,1,,78-83,". потом, волноваться, пошлый в чёрный изба. там набраться уже много народ. на лавка у окно сидеть коротконогий старик, очень похожий на высокий старик, -- он брат,"
1172,1173,лавка,1,,83-88, :43. обух подвести команда- за опасный игра высоко поднять клюшка делигировать на лавка дмитрий- фол в атака.
1173,1174,лавка,1,,67-72,", а мальчик не быть. у папа сразу упасть сердце. он посмотреть под лавка, потом залезть на нея, чтобы он быть хороший видно сверху, и крикнуть"
1174,1175,лавка,1,,83-88," нет, позволить ... -- гойя, бледный от выпить вино и волнение, даже привставать с лавка."
1175,1176,лавка,1,,71-76," таскать мешок панько; и давно уже, сунуть шапка под голова, спасть на лавка максим; а васька весь ещё пожирать поросятина, бросать костя грызться у порог"
1176,1177,лавка,1,,68-73, под название « мой ужасный няня ». у герой ферт в немой- семеро по лавка! ужасный вид дрянный создание довести до ручка 17 няня. последний сбежать при
1177,1178,лавка,1,,83-88," я знать этот район лос-анджелес. « дно » отверженный, где можно переспать на люба лавка, прикрыться газета, где человек чувствовать себя король, если у он есть возможность"
1178,1179,лавка,1,,78-83," ... и глаз петра пётр сверкнуть удалый весёлость. но вдруг он завертеться на лавка, потом задуматься, потупить голова и протянуть к я пустой стакан. -- дать-ка"
1179,1180,лавка,2,,82-94," день. жара спасть. улица оживиться. мужчина освободиться от занятие. дама делать визиты.лавка полный покупатель и главное образ, как и везде, покупательница. белые лэдить ... впрочем"
1180,1181,лавка,2,,71-76," бойко раскупаются… — ещё бы, когда он сам рассылать для это в книжный лавка свой лакей."
1181,1182,лавка,2,,89-94," имъ засѣдані. 10. управный старшина засѣдаетъ въ городской думѣ на управный старшинский лавкѣ, и предлагаетъ о нуждахъ и недостаткахъ ремеслъ. въ управѣ же управный старшина"
1182,1183,лавка,2,,59-64," короб ... я понять, что речь идти о я, -- когда я войти в лавка, они оба смутиться, но, и кроме это признак, у я быть основание"
1183,1184,лавка,2,,41-46," -- через полгода открыть, а теперь у он лавка в фриска. -- и ты он компаньон? -- нет ... я сам просить я"
1184,1185,лавка,2,,74-79," от себя меняла, и тот мягко свалиться за прилавок. лунёвый оглянуться: в лавка быть тихо и пусто, а за дверь, на улица, валить густой снег."
1185,1186,лавка,2,,90-95," потащиться с басманный на никитский, куда гробовщик переселяться весь свой дом. запереть лавка, прибить он к ворот объявление о тот, что дом продаваться и отдаваться"
1186,1187,лавка,2,,86-91,", жечь пыльный улица, загонять под навес юркий ребёнок израиль, торговать в городской лавка; « фактор » лениво валяться на солнцепёк, зорко выглядывать проезжать; скрип чиновничий перо слышаться"
1187,1188,лавка,2,,101-106," который видный остаток стена византийский церковь, широкий стеклянный прилавок в сумеречный глубина лавка. а где уважаемый халиль, спрашивать он преподаватель -- имя запамятовать -- с кафедра монументальный"
1188,1189,лавка,2,,87-92,", богучарский уезд, трое вооружённый с крик « рука вверх » ворваться в казённый винный лавка и похитить из выручка более 200 рубль. собраться на тревога толпа крестьянин"
1189,1190,лавка,2,,92-97," прохлада сундучный ряд, где недалеко от вход усталый путник, измученный толкотня суровский лавка и сорочий болтовня зазывать мальчишка и молодец ножовый линия, находить квасной и"
1190,1191,лавка,2,,96-101," друг( собство. корр.). персия. астарый. в ардебил грабёж продолжаться, пострадать также склад, лавка и частью дом русско-поддать. в консульство и охранять казак дом старшина"
1191,1192,лавка,2,,80-85," у они выделать вещий, но мастер страшно дорожиться. поступить же куда-нибудь в лавка приказчик горюн не мочь, потому что в приказчик принимать человек знакомый, по"
1192,1193,лавка,2,,63-68," в нея победитель. -- нет, батюшка! .. у я здесь два дом и три лавка, так слуга покорный. если быть какой побор, так что ж? хороший отдать"
1193,1194,лавка,2,,76-81," столица персия. по узкий кривая улица, где пыльный, где грязный, между ряд лавка под навес, и свод базар, я добраться наконец до арка, так называть"
1194,1195,лавка,2,,58-63,", ix, x, xi и xii часть, можно получить в оный же книжный лавка. о подписка к получение `` московский ведомость `` на будущий, 1783 год почтенный публика"
1195,1196,лавка,2,,87-93," петербург сосиска стать деликатес для богатый и повиснуть в витрина дорогой колбасный лавок- ряд с « благородный » твёрдый колбаса. а как иначе, если она делать не"
1196,1197,лавка,2,,76-81," верста северный архангельск -- вблизи кола. 19 март, в 10 час вечер пивная лавка платонов, на тверская ул., один из бражничать посетитель, кр. илья кокончик, бросить"
1197,1198,лавка,2,,105-110," государственный книгохранилище образовываться пробел. издание, который можно быть купить в люба книжный лавка, не попадать в румянцевский музей. правда, музей и библиотека порою приобретать они"
1198,1199,лавка,2,,81-86," груз, медленно приближаться к селение. вот и оно: белый церковь направо, налево лавка и дом. но это только часть селение. кончезеро расположиться на перешеек у"
1199,1200,лавка,2,,57-62," понять, что хотя у купцов шпора нет, но зато у они есть лавка и в они всякий товар. стать быть, деньга деньга, а материя, вещий"
1200,1201,лавка,2,,89-94," ситчик весёлый какой, цветочек! -- хорошо. -- окрестить, -- прибавить она: -- и зайти в лавка, купить ... не бог ведать что! у вы, у господин, большой наш."
1201,1202,лавка,2,,99-105," слово при наличие русский аналог. к пример, « сейшн »- заседание, « дилер »- посредник, « бутик » -лавка. за использование такой слово предлагаться наказывать гражданин на сумма от 2 до"
1202,1203,лавка,2,,70-75," тот-с, это кома угодный известно. весь у он, значит, перепутаться. в лавка у он я бывать, это точно — картошечка там купить, лучку… я и"
1203,1204,лавка,2,,78-83," она носить название греческий, так как на она помещаться несколько греческий лавка, в тот число один, в который торговать ковёр. именно у этот лавка"
1204,1205,лавка,2,,73-78," корчемник. торговец. а теперь искать по город кружало, как мыший нора в лавка. мещанин. да и ждать, пока попотчевать сыта вместо патока. кум, что ты"
1205,1206,лавка,2,,80-85," думать после весь страшный мучение успокоиться забытый от всего свет в книжный лавка или в библиотека тот смертный, который тщеславиться великое количество свой книга, а"
1206,1207,лавка,2,,86-91," бровь. посетитель шагнуть за порог.*** день через два знакомый мы хозяин антикварный лавка, просматривать газетный хроника, наткнуться на строка: « вчера с мост св. стефан броситься"
1207,1208,лавка,2,,91-96," дача. что бразильский фото смонтировать на обычный компьютер, сувенир купить в московский лавка, а знаменитый кофе приобрести в соседний продовольственный магазин. `` фирменный '' же упаковка к"
1208,1209,лавка,2,,74-79,", и в взаимодействие с человек. ... я бродить по городок, зайти в книжный лавка. и странный цена найти на книга. ну не мочь я не купить"
1209,1210,лавка,2,,88-93,". какой промысл я заняться, когда кофейня, где я сидеть, принадлежать египтянин, мясной лавка напротив -- житель дели или агра, а лечебный трава наискосок торговать иудей? что"
